folder	file	data_rows	header_chars	encoding_guess
unit_million	1.csv	2825	145	utf-8-sig
unit_million	108.csv	40846	153	utf-8
unit_million	10_20251224.csv	2298	174	utf-8
unit_million	11.csv	1046	174	utf-8
unit_million	111.fixed.csv	5004	161	utf-8
unit_million	118.csv	846	150	utf-8
unit_million	12.csv	485	174	utf-8
unit_million	12_20251224.csv	2725	174	utf-8-sig
unit_million	14.csv	284	174	utf-8
unit_million	16.csv	1494	174	utf-8
unit_million	17.csv	1216	174	utf-8
unit_million	17_20251224.csv	2352	174	utf-8
unit_million	18.csv	1659	174	utf-8
unit_million	18_20251224.csv	2374	174	utf-8
unit_million	1_20251224.csv	2100	174	utf-8
unit_million	2.csv	935	145	utf-8
unit_million	21.csv	1125	174	utf-8
unit_million	22.csv	29	174	utf-8-sig
unit_million	25.csv	619	174	utf-8-sig
unit_million	28.csv	212	174	utf-8-sig
unit_million	2_20251224.csv	2111	174	utf-8-sig
unit_million	3.csv	1282	62	utf-8-sig
unit_million	32.csv	1542	174	utf-8-sig
unit_million	3_20251224.csv	2049	174	utf-8
unit_million	4.csv	1416	89	utf-8
unit_million	4_20251224.csv	1521	174	utf-8
unit_million	5_20251224.csv	2551	174	utf-8-sig
unit_million	6.csv	1370	174	utf-8
unit_million	6_20251224.csv	2716	174	utf-8-sig
unit_million	7.csv	2060	174	utf-8-sig
unit_million	7_20251224.csv	2560	174	utf-8
unit_million	8.csv	1157	174	utf-8
unit_million	8_20251224.csv	2106	174	utf-8-sig
unit_million	9.csv	1359	174	utf-8-sig
unit_million	9_20251224.csv	1973	174	utf-8-sig
unit_million	import_firstTime_1.csv	1969	93	utf-8-sig
unit_million	import_firstTime_10.csv	300	88	utf-8
unit_million	import_firstTime_100.csv	200	79	utf-8
unit_million	import_firstTime_101.csv	15638	88	utf-8
unit_million	import_firstTime_102.csv	14414	75	utf-8
unit_million	import_firstTime_103.csv	4869	93	utf-8
unit_million	import_firstTime_106.csv	5921	99	utf-8
unit_million	import_firstTime_107.csv	40846	259	utf-8-sig
unit_million	import_firstTime_108.csv	40846	184	utf-8
unit_million	import_firstTime_11.csv	300	88	utf-8-sig
unit_million	import_firstTime_110.csv	5003	157	utf-8
unit_million	import_firstTime_111.csv	5003	156	utf-8
unit_million	import_firstTime_112.csv	5003	158	utf-8
unit_million	import_firstTime_113.csv	5003	157	utf-8
unit_million	import_firstTime_114.csv	5003	157	utf-8
unit_million	import_firstTime_115.csv	5003	156	utf-8
unit_million	import_firstTime_116.csv	5003	155	utf-8
unit_million	import_firstTime_117.csv	5003	158	utf-8-sig
unit_million	import_firstTime_118.csv	846	173	utf-8-sig
unit_million	import_firstTime_119.csv	11917	175	utf-8
unit_million	import_firstTime_12.csv	300	88	utf-8-sig
unit_million	import_firstTime_120.csv	1999	173	utf-8
unit_million	import_firstTime_121.csv	2000	176	utf-8
unit_million	import_firstTime_122.csv	2000	147	utf-8-sig
unit_million	import_firstTime_123.csv	2000	172	utf-8-sig
unit_million	import_firstTime_125.csv	1918	174	utf-8-sig
unit_million	import_firstTime_13.csv	300	88	utf-8
unit_million	import_firstTime_133.csv	2163	145	utf-8-sig
unit_million	import_firstTime_134.csv	5342	145	utf-8-sig
unit_million	import_firstTime_14.csv	300	88	utf-8
unit_million	import_firstTime_15.csv	300	88	utf-8
unit_million	import_firstTime_16.csv	300	88	utf-8-sig
unit_million	import_firstTime_17.csv	300	88	utf-8
unit_million	import_firstTime_18.csv	300	88	utf-8
unit_million	import_firstTime_19.csv	300	88	utf-8
unit_million	import_firstTime_2.csv	2575	93	utf-8
unit_million	import_firstTime_20.csv	300	88	utf-8-sig
unit_million	import_firstTime_21.csv	300	88	utf-8
unit_million	import_firstTime_22.csv	300	88	utf-8
unit_million	import_firstTime_23.csv	176	75	utf-8-sig
unit_million	import_firstTime_24.csv	5348	145	utf-8-sig
unit_million	import_firstTime_25.csv	300	88	utf-8
unit_million	import_firstTime_26.csv	300	88	utf-8
unit_million	import_firstTime_27.csv	300	88	utf-8-sig
unit_million	import_firstTime_28.csv	300	88	utf-8
unit_million	import_firstTime_29.csv	300	88	utf-8
unit_million	import_firstTime_30.csv	300	88	utf-8-sig
unit_million	import_firstTime_31.csv	300	88	utf-8-sig
unit_million	import_firstTime_32.csv	300	88	utf-8-sig
unit_million	import_firstTime_33.csv	300	88	utf-8
unit_million	import_firstTime_34.csv	300	88	utf-8-sig
unit_million	import_firstTime_35.csv	222	88	utf-8-sig
unit_million	import_firstTime_36.csv	40846	283	utf-8-sig
unit_million	import_firstTime_39.csv	300	88	utf-8
unit_million	import_firstTime_4.csv	1266	167	utf-8-sig
unit_million	import_firstTime_41.csv	4445	145	utf-8
unit_million	import_firstTime_42.csv	5003	217	utf-8
unit_million	import_firstTime_43.csv	5003	259	utf-8-sig
unit_million	import_firstTime_44.csv	5003	283	utf-8
unit_million	import_firstTime_45.csv	5003	271	utf-8
unit_million	import_firstTime_46.csv	5003	271	utf-8
unit_million	import_firstTime_47.csv	5003	259	utf-8
unit_million	import_firstTime_48.csv	5003	217	utf-8
unit_million	import_firstTime_49.csv	5003	283	utf-8
unit_million	import_firstTime_50.csv	846	217	utf-8
unit_million	import_firstTime_52.csv	14880	88	utf-8-sig
unit_million	import_firstTime_54.csv	299	88	utf-8-sig
unit_million	import_firstTime_55.csv	299	88	utf-8-sig
unit_million	import_firstTime_56.csv	300	88	utf-8-sig
unit_million	import_firstTime_57.csv	300	88	utf-8-sig
unit_million	import_firstTime_58.csv	300	88	utf-8
unit_million	import_firstTime_59.csv	300	88	utf-8
unit_million	import_firstTime_60.csv	300	88	utf-8
unit_million	import_firstTime_62.csv	300	88	utf-8-sig
unit_million	import_firstTime_63.csv	170	88	utf-8
unit_million	import_firstTime_64.csv	300	88	utf-8-sig
unit_million	import_firstTime_65.csv	300	88	utf-8
unit_million	import_firstTime_66.csv	300	88	utf-8
unit_million	import_firstTime_67.csv	300	88	utf-8
unit_million	import_firstTime_68.csv	300	88	utf-8
unit_million	import_firstTime_69.csv	300	88	utf-8
unit_million	import_firstTime_7.csv	299	88	utf-8-sig
unit_million	import_firstTime_70.csv	300	88	utf-8-sig
unit_million	import_firstTime_71.csv	300	88	utf-8-sig
unit_million	import_firstTime_72.csv	300	88	utf-8-sig
unit_million	import_firstTime_73.csv	300	88	utf-8-sig
unit_million	import_firstTime_74.csv	70	88	utf-8-sig
unit_million	import_firstTime_75.csv	300	88	utf-8
unit_million	import_firstTime_76.csv	300	88	utf-8
unit_million	import_firstTime_77.csv	300	88	utf-8-sig
unit_million	import_firstTime_8.csv	299	88	utf-8-sig
unit_million	import_firstTime_9.csv	300	88	utf-8
unit_million	import_firstTime_90.csv	300	75	utf-8-sig
unit_million	yuzuri_1.csv	122	53	utf-8-sig
unit_million	yuzuri_10.csv	100	59	utf-8-sig
unit_million	yuzuri_12.csv	20	53	utf-8-sig
unit_million	yuzuri_14.csv	40	53	utf-8-sig
unit_million	yuzuri_16.csv	30	53	utf-8-sig
unit_million	yuzuri_17.csv	20	57	utf-8-sig
unit_million	yuzuri_19.csv	77	53	utf-8-sig
unit_million	yuzuri_2.csv	222	52	utf-8-sig
unit_million	yuzuri_21.csv	204	53	utf-8-sig
unit_million	yuzuri_3.csv	20	53	utf-8-sig
unit_million	yuzuri_5.csv	65	53	utf-8-sig
unit_million	yuzuri_6.csv	103	53	utf-8-sig
unit_million	yuzuri_8.csv	50	53	utf-8-sig
unit_million	yuzuri_9.csv	52	53	utf-8-sig
unit_yen	10.csv	1446	174	utf-8
unit_yen	11_20251224.csv	259	174	utf-8
unit_yen	13.csv	284	174	utf-8
unit_yen	15.csv	226	174	utf-8-sig
unit_yen	16_20251224.csv	2415	174	utf-8
unit_yen	19.csv	845	174	utf-8
unit_yen	20.csv	1388	174	utf-8-sig
unit_yen	23.csv	766	174	utf-8
unit_yen	24.csv	1124	174	utf-8
unit_yen	27.csv	1106	174	utf-8
unit_yen	29.csv	1410	174	utf-8-sig
unit_yen	30.csv	507	174	utf-8
unit_yen	31.csv	434	174	utf-8-sig
unit_yen	import_firstTime_105.csv	299	81	utf-8
unit_yen	import_firstTime_124.csv	2000	173	utf-8
unit_yen	import_firstTime_3.csv	1276	167	utf-8
unit_yen	import_firstTime_40.csv	901	145	utf-8
unit_yen	import_firstTime_5.csv	1128	167	utf-8
unit_yen	import_firstTime_6.csv	838	167	utf-8-sig
unit_yen	import_firstTime_78.csv	300	75	utf-8
unit_yen	import_firstTime_79.csv	300	75	utf-8
unit_yen	import_firstTime_80.csv	300	75	utf-8-sig
unit_yen	import_firstTime_81.csv	300	75	utf-8
unit_yen	import_firstTime_82.csv	300	75	utf-8
unit_yen	import_firstTime_83.csv	300	75	utf-8
unit_yen	import_firstTime_84.csv	300	75	utf-8
unit_yen	import_firstTime_85.csv	300	75	utf-8-sig
unit_yen	import_firstTime_86.csv	300	75	utf-8
unit_yen	import_firstTime_87.csv	300	75	utf-8-sig
unit_yen	import_firstTime_88.csv	300	75	utf-8
unit_yen	import_firstTime_89.csv	300	75	utf-8-sig
unit_yen	import_firstTime_91.csv	300	75	utf-8
unit_yen	import_firstTime_92.csv	300	75	utf-8
unit_yen	import_firstTime_93.csv	300	75	utf-8-sig
unit_yen	import_firstTime_94.csv	300	75	utf-8
unit_yen	import_firstTime_95.csv	300	75	utf-8
unit_yen	import_firstTime_96.csv	300	75	utf-8-sig
unit_yen	import_firstTime_97.csv	300	75	utf-8-sig
unit_yen	import_firstTime_98.csv	300	75	utf-8-sig
unit_yen	import_firstTime_99.csv	300	75	utf-8
